age,sex,province,education,income_family,place_birth_canada,n,cell_prop_of_division_total
0 to 29 years,Male,Alberta,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born outside Canada,93,1.2435931551562984e-4
0 to 29 years,Male,Alberta,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,723,9.667933883634448e-4
0 to 29 years,Male,Alberta,Less than high school diploma or its equivalent,"$150,000 and more",Born outside Canada,87,1.1633613386946016e-4
0 to 29 years,Male,Alberta,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,363,4.854024895932648e-4
0 to 29 years,Male,Alberta,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,131,1.751727992747044e-4
0 to 29 years,Male,Alberta,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,516,6.899936215705913e-4
0 to 29 years,Male,Alberta,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,119,1.5912643598236506e-4
0 to 29 years,Male,Alberta,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,494,6.605752888679692e-4
0 to 29 years,Male,Alberta,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,98,1.3104530022077122e-4
0 to 29 years,Male,Alberta,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,426,5.696458968780462e-4
0 to 29 years,Male,Alberta,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born outside Canada,99,1.323824971617995e-4
0 to 29 years,Male,Alberta,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,660,8.825499810786632e-4
0 to 29 years,Male,Alberta,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,123,1.6447522374647816e-4
0 to 29 years,Male,Alberta,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,1034,0.0013826616370232392
0 to 29 years,Male,Alberta,High school diploma or a high school equivalency certificate,"$150,000 and more",Born outside Canada,145,1.9389355644910028e-4
0 to 29 years,Male,Alberta,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,52,6.953424093347044e-5
0 to 29 years,Male,Alberta,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born outside Canada,9,1.20347724692545e-5
0 to 29 years,Male,Alberta,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,114,1.5244045127722365e-4
0 to 29 years,Male,Alberta,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born outside Canada,11,1.4709166351311055e-5
0 to 29 years,Male,Alberta,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,132,1.7650999621573267e-4
0 to 29 years,Male,Alberta,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born outside Canada,23,3.075552964365039e-5
0 to 29 years,Male,Alberta,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,159,2.1261431362349615e-4
0 to 29 years,Male,Alberta,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born outside Canada,10,1.3371969410282777e-5
0 to 29 years,Male,Alberta,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,251,3.3563643219809773e-4
0 to 29 years,Male,Alberta,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born outside Canada,17,2.273234799748072e-5
0 to 29 years,Male,Alberta,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,195,2.6075340350051416e-4
0 to 29 years,Male,Alberta,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born outside Canada,11,1.4709166351311055e-5
0 to 29 years,Male,Alberta,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,91,1.2168492163357327e-4
0 to 29 years,Male,Alberta,University certificate or diploma below the bachelor's level,"Less than $25,000",Born outside Canada,45,6.0173862346272496e-5
0 to 29 years,Male,Alberta,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,148,1.979051472721851e-4
0 to 29 years,Male,Alberta,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born outside Canada,39,5.215068070010283e-5
0 to 29 years,Male,Alberta,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,151,2.0191673809526994e-4
0 to 29 years,Male,Alberta,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born outside Canada,32,4.2790302112904885e-5
0 to 29 years,Male,Alberta,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,108,1.4441726963105398e-4
0 to 29 years,Male,Alberta,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,28,3.744151434879178e-5
0 to 29 years,Male,Alberta,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,207,2.767997667928535e-4
0 to 29 years,Male,Alberta,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born outside Canada,42,5.6162271523187664e-5
0 to 29 years,Male,Alberta,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,244,3.2627605361089975e-4
0 to 29 years,Male,Alberta,University certificate or diploma below the bachelor's level,"$150,000 and more",Born outside Canada,37,4.9476286818046275e-5
0 to 29 years,Male,Alberta,Bachelor's degree,"Less than $25,000",Born in Canada,75,1.0028977057712083e-4
0 to 29 years,Male,Alberta,Bachelor's degree,"Less than $25,000",Born outside Canada,76,1.016269675181491e-4
0 to 29 years,Male,Alberta,Bachelor's degree,"$25,000 to $49,999",Born in Canada,117,1.564520421003085e-4
0 to 29 years,Male,Alberta,Bachelor's degree,"$25,000 to $49,999",Born outside Canada,75,1.0028977057712083e-4
0 to 29 years,Male,Alberta,Bachelor's degree,"$50,000 to $74,999",Born in Canada,128,1.7116120845161954e-4
0 to 29 years,Male,Alberta,Bachelor's degree,"$50,000 to $74,999",Born outside Canada,65,8.691780116683805e-5
0 to 29 years,Male,Alberta,Bachelor's degree,"$75,000 to $99,999",Born in Canada,103,1.377312849259126e-4
0 to 29 years,Male,Alberta,Bachelor's degree,"$75,000 to $99,999",Born outside Canada,32,4.2790302112904885e-5
0 to 29 years,Male,Alberta,Bachelor's degree,"$10,000 to $149,999",Born in Canada,180,2.4069544938508998e-4
0 to 29 years,Male,Alberta,Bachelor's degree,"$10,000 to $149,999",Born outside Canada,56,7.488302869758356e-5
0 to 29 years,Male,Alberta,Bachelor's degree,"$150,000 and more",Born in Canada,249,3.3296203831604116e-4
0 to 29 years,Male,Alberta,Bachelor's degree,"$150,000 and more",Born outside Canada,55,7.354583175655527e-5
0 to 29 years,Male,Alberta,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born in Canada,4,5.348787764113111e-6
0 to 29 years,Male,Alberta,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born outside Canada,26,3.476712046673522e-5
0 to 29 years,Male,Alberta,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born in Canada,11,1.4709166351311055e-5
0 to 29 years,Male,Alberta,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born outside Canada,20,2.6743938820565553e-5
0 to 29 years,Male,Alberta,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,8,1.0697575528226221e-5
0 to 29 years,Male,Alberta,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born outside Canada,18,2.4069544938509e-5
0 to 29 years,Male,Alberta,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,15,2.0057954115424164e-5
0 to 29 years,Male,Alberta,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born outside Canada,8,1.0697575528226221e-5
0 to 29 years,Male,Alberta,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,22,2.941833270262211e-5
0 to 29 years,Male,Alberta,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born outside Canada,15,2.0057954115424164e-5
0 to 29 years,Male,Alberta,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,24,3.2092726584678664e-5
0 to 29 years,Male,Alberta,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born outside Canada,11,1.4709166351311055e-5
0 to 29 years,Male,British Columbia,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,297,3.971474914853985e-4
0 to 29 years,Male,British Columbia,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,139,1.858703748029306e-4
0 to 29 years,Male,British Columbia,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,383,5.121464284138303e-4
0 to 29 years,Male,British Columbia,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born outside Canada,103,1.377312849259126e-4
0 to 29 years,Male,British Columbia,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,354,4.7336771712401033e-4
0 to 29 years,Male,British Columbia,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born outside Canada,75,1.0028977057712083e-4
0 to 29 years,Male,British Columbia,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,294,3.9313590066231363e-4
0 to 29 years,Male,British Columbia,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born outside Canada,45,6.0173862346272496e-5
0 to 29 years,Male,British Columbia,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,456,6.097618051088946e-4
0 to 29 years,Male,British Columbia,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born outside Canada,63,8.424340728478149e-5
0 to 29 years,Male,British Columbia,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,466,6.231337745191774e-4
0 to 29 years,Male,British Columbia,Less than high school diploma or its equivalent,"$150,000 and more",Born outside Canada,46,6.151105928730078e-5
0 to 29 years,Male,British Columbia,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,543,7.260979389783548e-4
0 to 29 years,Male,British Columbia,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,441,5.897038509934705e-4
0 to 29 years,Male,British Columbia,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,619,8.277249064965039e-4
0 to 29 years,Male,British Columbia,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,168,2.2464908609275066e-4
0 to 29 years,Male,British Columbia,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,533,7.12725969568072e-4
0 to 29 years,Male,British Columbia,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,164,2.1930029832863755e-4
0 to 29 years,Male,British Columbia,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,465,6.217965775781491e-4
0 to 29 years,Male,British Columbia,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born outside Canada,114,1.5244045127722365e-4
0 to 29 years,Male,British Columbia,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,683,9.133055107223137e-4
0 to 29 years,Male,British Columbia,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,139,1.858703748029306e-4
0 to 29 years,Male,British Columbia,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,799,0.001068420355881594
0 to 29 years,Male,British Columbia,High school diploma or a high school equivalency certificate,"$150,000 and more",Born outside Canada,92,1.2302211857460156e-4
0 to 29 years,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,58,7.75574225796401e-5
0 to 29 years,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born outside Canada,18,2.4069544938509e-5
0 to 29 years,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,102,1.3639408798488432e-4
0 to 29 years,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born outside Canada,15,2.0057954115424164e-5
0 to 29 years,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,133,1.7784719315676092e-4
0 to 29 years,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born outside Canada,14,1.872075717439589e-5
0 to 29 years,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,119,1.5912643598236506e-4
0 to 29 years,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born outside Canada,14,1.872075717439589e-5
0 to 29 years,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,155,2.0726552585938304e-4
0 to 29 years,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born outside Canada,23,3.075552964365039e-5
0 to 29 years,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,141,1.8854476868498715e-4
0 to 29 years,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born outside Canada,10,1.3371969410282777e-5
0 to 29 years,Male,British Columbia,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,114,1.5244045127722365e-4
0 to 29 years,Male,British Columbia,University certificate or diploma below the bachelor's level,"Less than $25,000",Born outside Canada,96,1.2837090633871466e-4
0 to 29 years,Male,British Columbia,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,153,2.0459113197732648e-4
0 to 29 years,Male,British Columbia,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born outside Canada,84,1.1232454304637533e-4
0 to 29 years,Male,British Columbia,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,161,2.152887075055527e-4
0 to 29 years,Male,British Columbia,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born outside Canada,45,6.0173862346272496e-5
0 to 29 years,Male,British Columbia,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,120,0.00016046363292339331
0 to 29 years,Male,British Columbia,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,39,5.215068070010283e-5
0 to 29 years,Male,British Columbia,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,177,2.3668385856200517e-4
0 to 29 years,Male,British Columbia,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born outside Canada,50,6.685984705141389e-5
0 to 29 years,Male,British Columbia,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,154,2.0592832891835476e-4
0 to 29 years,Male,British Columbia,University certificate or diploma below the bachelor's level,"$150,000 and more",Born outside Canada,26,3.476712046673522e-5
0 to 29 years,Male,British Columbia,Bachelor's degree,"Less than $25,000",Born in Canada,119,1.5912643598236506e-4
0 to 29 years,Male,British Columbia,Bachelor's degree,"Less than $25,000",Born outside Canada,170,2.2732347997480722e-4
0 to 29 years,Male,British Columbia,Bachelor's degree,"$25,000 to $49,999",Born in Canada,128,1.7116120845161954e-4
0 to 29 years,Male,British Columbia,Bachelor's degree,"$25,000 to $49,999",Born outside Canada,92,1.2302211857460156e-4
0 to 29 years,Male,British Columbia,Bachelor's degree,"$50,000 to $74,999",Born in Canada,119,1.5912643598236506e-4
0 to 29 years,Male,British Columbia,Bachelor's degree,"$50,000 to $74,999",Born outside Canada,85,1.1366173998740361e-4
0 to 29 years,Male,British Columbia,Bachelor's degree,"$75,000 to $99,999",Born in Canada,119,1.5912643598236506e-4
0 to 29 years,Male,British Columbia,Bachelor's degree,"$75,000 to $99,999",Born outside Canada,62,8.290621034375322e-5
0 to 29 years,Male,British Columbia,Bachelor's degree,"$10,000 to $149,999",Born in Canada,146,1.9523075339012853e-4
0 to 29 years,Male,British Columbia,Bachelor's degree,"$10,000 to $149,999",Born outside Canada,69,9.226658893095117e-5
0 to 29 years,Male,British Columbia,Bachelor's degree,"$150,000 and more",Born in Canada,173,2.3133507079789204e-4
0 to 29 years,Male,British Columbia,Bachelor's degree,"$150,000 and more",Born outside Canada,44,5.883666540524422e-5
0 to 29 years,Male,British Columbia,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born in Canada,11,1.4709166351311055e-5
0 to 29 years,Male,British Columbia,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born outside Canada,44,5.883666540524422e-5
0 to 29 years,Male,British Columbia,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born in Canada,20,2.6743938820565553e-5
0 to 29 years,Male,British Columbia,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born outside Canada,34,4.546469599496144e-5
0 to 29 years,Male,British Columbia,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,16,2.1395151056452443e-5
0 to 29 years,Male,British Columbia,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born outside Canada,28,3.744151434879178e-5
0 to 29 years,Male,British Columbia,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,18,2.4069544938509e-5
0 to 29 years,Male,British Columbia,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born outside Canada,14,1.872075717439589e-5
0 to 29 years,Male,British Columbia,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,23,3.075552964365039e-5
0 to 29 years,Male,British Columbia,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born outside Canada,21,2.8081135761593832e-5
0 to 29 years,Male,British Columbia,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,16,2.1395151056452443e-5
0 to 29 years,Male,British Columbia,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born outside Canada,8,1.0697575528226221e-5
0 to 29 years,Male,Northern Canada,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,24,3.2092726584678664e-5
0 to 29 years,Male,Northern Canada,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,32,4.2790302112904885e-5
0 to 29 years,Male,Northern Canada,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,16,2.1395151056452443e-5
0 to 29 years,Male,Northern Canada,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,14,1.872075717439589e-5
0 to 29 years,Male,Northern Canada,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,22,2.941833270262211e-5
0 to 29 years,Male,Northern Canada,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,30,4.011590823084833e-5
0 to 29 years,Male,Northern Canada,Less than high school diploma or its equivalent,"$150,000 and more",Born outside Canada,2,2.6743938820565553e-6
0 to 29 years,Male,Northern Canada,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,6,8.023181646169666e-6
0 to 29 years,Male,Northern Canada,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,23,3.075552964365039e-5
0 to 29 years,Male,Northern Canada,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,6,8.023181646169666e-6
0 to 29 years,Male,Northern Canada,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,13,1.738356023336761e-5
0 to 29 years,Male,Northern Canada,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,7,9.360378587197945e-6
0 to 29 years,Male,Northern Canada,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,26,3.476712046673522e-5
0 to 29 years,Male,Northern Canada,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,2,2.6743938820565553e-6
0 to 29 years,Male,Northern Canada,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,7,9.360378587197945e-6
0 to 29 years,Male,Northern Canada,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,1,1.3371969410282777e-6
0 to 29 years,Male,Northern Canada,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,3,4.011590823084833e-6
0 to 29 years,Male,Northern Canada,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,2,2.6743938820565553e-6
0 to 29 years,Male,Northern Canada,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,3,4.011590823084833e-6
0 to 29 years,Male,Northern Canada,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,1,1.3371969410282777e-6
0 to 29 years,Male,Northern Canada,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,1,1.3371969410282777e-6
0 to 29 years,Male,Northern Canada,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,2,2.6743938820565553e-6
0 to 29 years,Male,Northern Canada,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,1,1.3371969410282777e-6
0 to 29 years,Male,Northern Canada,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,3,4.011590823084833e-6
0 to 29 years,Male,Northern Canada,Bachelor's degree,"Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Male,Northern Canada,Bachelor's degree,"$10,000 to $149,999",Born in Canada,1,1.3371969410282777e-6
0 to 29 years,Male,Northern Canada,Bachelor's degree,"$150,000 and more",Born in Canada,4,5.348787764113111e-6
0 to 29 years,Male,Northern Canada,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,32,4.2790302112904885e-5
30 to 44 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,2,2.6743938820565553e-6
30 to 44 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,21,2.8081135761593832e-5
30 to 44 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,17,2.273234799748072e-5
30 to 44 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,11,1.4709166351311055e-5
30 to 44 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,11,1.4709166351311055e-5
30 to 44 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,8,1.0697575528226221e-5
30 to 44 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,34,4.546469599496144e-5
30 to 44 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,52,6.953424093347044e-5
30 to 44 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,50,6.685984705141389e-5
30 to 44 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,42,5.6162271523187664e-5
30 to 44 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,43,5.749946846421594e-5
30 to 44 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,26,3.476712046673522e-5
30 to 44 years,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,6,8.023181646169666e-6
30 to 44 years,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,13,1.738356023336761e-5
30 to 44 years,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,13,1.738356023336761e-5
30 to 44 years,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,6,8.023181646169666e-6
30 to 44 years,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,15,2.0057954115424164e-5
30 to 44 years,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,9,1.20347724692545e-5
30 to 44 years,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,30,4.011590823084833e-5
30 to 44 years,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,67,8.95921950488946e-5
30 to 44 years,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,70,9.360378587197944e-5
30 to 44 years,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,85,1.1366173998740361e-4
30 to 44 years,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,140,1.8720757174395887e-4
30 to 44 years,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,89,1.1901052775151671e-4
30 to 44 years,Female,Newfoundland and Labrador,Bachelor's degree,"Less than $25,000",Born in Canada,5,6.685984705141388e-6
30 to 44 years,Female,Newfoundland and Labrador,Bachelor's degree,"Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Newfoundland and Labrador,Bachelor's degree,"$25,000 to $49,999",Born in Canada,8,1.0697575528226221e-5
30 to 44 years,Female,Newfoundland and Labrador,Bachelor's degree,"$25,000 to $49,999",Born outside Canada,2,2.6743938820565553e-6
30 to 44 years,Female,Newfoundland and Labrador,Bachelor's degree,"$50,000 to $74,999",Born in Canada,14,1.872075717439589e-5
30 to 44 years,Female,Newfoundland and Labrador,Bachelor's degree,"$50,000 to $74,999",Born outside Canada,2,2.6743938820565553e-6
30 to 44 years,Female,Newfoundland and Labrador,Bachelor's degree,"$75,000 to $99,999",Born in Canada,35,4.680189293598972e-5
30 to 44 years,Female,Newfoundland and Labrador,Bachelor's degree,"$75,000 to $99,999",Born outside Canada,3,4.011590823084833e-6
30 to 44 years,Female,Newfoundland and Labrador,Bachelor's degree,"$10,000 to $149,999",Born in Canada,56,7.488302869758356e-5
30 to 44 years,Female,Newfoundland and Labrador,Bachelor's degree,"$150,000 and more",Born in Canada,101,1.3505689104385604e-4
30 to 44 years,Female,Newfoundland and Labrador,Bachelor's degree,"$150,000 and more",Born outside Canada,2,2.6743938820565553e-6
30 to 44 years,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born in Canada,4,5.348787764113111e-6
30 to 44 years,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born in Canada,4,5.348787764113111e-6
30 to 44 years,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,4,5.348787764113111e-6
30 to 44 years,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,13,1.738356023336761e-5
30 to 44 years,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born outside Canada,2,2.6743938820565553e-6
