age,sex,province,education,income_family,place_birth_canada,n,cell_prop_of_division_total
0 to 29 years,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,5,6.685984705141388e-6
0 to 29 years,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,4,5.348787764113111e-6
0 to 29 years,Female,Prince Edward Island,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,3,4.011590823084833e-6
0 to 29 years,Female,Prince Edward Island,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,11,1.4709166351311055e-5
0 to 29 years,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,8,1.0697575528226221e-5
0 to 29 years,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,18,2.4069544938509e-5
0 to 29 years,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,17,2.273234799748072e-5
0 to 29 years,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,13,1.738356023336761e-5
0 to 29 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,17,2.273234799748072e-5
0 to 29 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,2,2.6743938820565553e-6
0 to 29 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,12,1.6046363292339332e-5
0 to 29 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,16,2.1395151056452443e-5
0 to 29 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,21,2.8081135761593832e-5
0 to 29 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,22,2.941833270262211e-5
0 to 29 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,12,1.6046363292339332e-5
0 to 29 years,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,9,1.20347724692545e-5
0 to 29 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,10,1.3371969410282777e-5
0 to 29 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,10,1.3371969410282777e-5
0 to 29 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,6,8.023181646169666e-6
0 to 29 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,14,1.872075717439589e-5
0 to 29 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,4,5.348787764113111e-6
0 to 29 years,Female,Prince Edward Island,Bachelor's degree,"Less than $25,000",Born in Canada,10,1.3371969410282777e-5
0 to 29 years,Female,Prince Edward Island,Bachelor's degree,"Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Prince Edward Island,Bachelor's degree,"$25,000 to $49,999",Born in Canada,4,5.348787764113111e-6
0 to 29 years,Female,Prince Edward Island,Bachelor's degree,"$25,000 to $49,999",Born outside Canada,2,2.6743938820565553e-6
0 to 29 years,Female,Prince Edward Island,Bachelor's degree,"$50,000 to $74,999",Born in Canada,10,1.3371969410282777e-5
0 to 29 years,Female,Prince Edward Island,Bachelor's degree,"$75,000 to $99,999",Born in Canada,15,2.0057954115424164e-5
0 to 29 years,Female,Prince Edward Island,Bachelor's degree,"$75,000 to $99,999",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Prince Edward Island,Bachelor's degree,"$10,000 to $149,999",Born in Canada,6,8.023181646169666e-6
0 to 29 years,Female,Prince Edward Island,Bachelor's degree,"$150,000 and more",Born in Canada,4,5.348787764113111e-6
0 to 29 years,Female,Prince Edward Island,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,3,4.011590823084833e-6
0 to 29 years,Female,Prince Edward Island,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,2,2.6743938820565553e-6
0 to 29 years,Female,Prince Edward Island,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,2,2.6743938820565553e-6
0 to 29 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,78,1.0430136140020566e-4
0 to 29 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,7,9.360378587197945e-6
0 to 29 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,94,1.256965124566581e-4
0 to 29 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,73,9.761537669506427e-5
0 to 29 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,60,8.023181646169666e-5
0 to 29 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born outside Canada,3,4.011590823084833e-6
0 to 29 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,98,1.3104530022077122e-4
0 to 29 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born outside Canada,4,5.348787764113111e-6
0 to 29 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,83,1.1098734610534705e-4
0 to 29 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$150,000 and more",Born outside Canada,3,4.011590823084833e-6
0 to 29 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,134,1.791843900977892e-4
0 to 29 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,25,3.3429923525706946e-5
0 to 29 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,116,1.551148451592802e-4
0 to 29 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,3,4.011590823084833e-6
0 to 29 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,91,1.2168492163357327e-4
0 to 29 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,3,4.011590823084833e-6
0 to 29 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,78,1.0430136140020566e-4
0 to 29 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born outside Canada,6,8.023181646169666e-6
0 to 29 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,104,1.3906848186694088e-4
